order,species,specimen no.,fL,fPW,fDW,fCr-Ca,fM-L,tbL,tbPW,tbDW,tbCr-Ca,tbM-L,tmtL,tmtD-P,tmtM-L
Anseriformes,Cereopsis novaehollandiae,B8859,82.6,21.9,21,8.7,8.4,155,17.2,16,6.8,8.2,103.1,6.8,7.1
Anseriformes,Cereopsis novaehollandiae,B22238,100.9,26.5,25.4,10.2,10.7,172,21.8,18.3,8,9.7,114.6,7.8,9.3
Anseriformes,Cereopsis novaehollandiae,B8861,89.8,23.7,22.9,8.3,9.8,166,18.8,16.7,7.1,8.9,11.2,7.1,7.7
Anseriformes,Anhima cornuta,B12574,91.3,23.1,21.6,10,10.6,176,18.8,16.4,8.3,9.2,115.6,7,10.1
Dinornithiformes,Dinornis robustus,OM A50.27,383,131,151,59.3,,812,181,103,,62,415,,52.7
Dinornithiformes,Dinornis novaezealandiae,AU6393.18,385,135,150,,56.5,810,180,109,,58,421,,52.3
Dinornithiformes,Dinornis novaezealandiae,AIM113,332,108,133,,45,728,160,90,,48,417,,40
Dinornithiformes,Dinornis robustus,MNZ S28114,352,137,151,,64,750,162,100,,59.6,403,,56
Dinornithiformes,Dinornis robustus,CM8436,402,152.6,167,,59,915,190,116.5,,56.6,494,,61.4
Dinornithiformes,Dinornis robustus,CM12589,360,118.3,143.7,,50.7,745,162,90.4,,51.4,384,,44.4
Dinornithiformes,Dinornis robustus,CM14549,412,145.5,162,,60.2,916,180,123.5,,64.3,531,,59.6
Dinornithiformes,Dinornis robustus,CM14449,423,148,170,,61,902,192,113.2,,63,487,,54.3
Dinornithiformes,Dinornis robustus,CM15025,395,142.2,164,,62.7,885,188,118.3,,66.3,503,,60.3
Dinornithiformes,Dinornis robustus,CM15026,447,156,180,,62.6,924,212,124.4,,65.5,517,,62.3
Dinornithiformes,Dinornis robustus,CM15028,333,125,133,,46.8,675,158,93.9,,52.4,347,,46.3
Dinornithiformes,Dinornis robustus,CM29320,380,123.6,159,,62,786,172,103.2,,59.5,401,,51.8
Dinornithiformes,Dinornis robustus,MNZ S27891,297,100,119,,44,566,141,79,,43,283,,40
